Name, Rate, Phone Numbers that Start With, 
Bolivia,0.27500,"5919, 59128, 59132, 59137, 59142, 59145, 59147, 591253, 591254, 591255, 591264, 591265, 591266, 591267, 591268, 591341, 591364, 591386, 591387, 591388, 591395, 591397, 591398, 591449, 5912213, 5912513, 5912529, 5912582, 5912583, 5912584, 5912585, 5912586, 5912587, 5912588, 5912589, 5912590, 5912591, 5912592, 5912593, 5912594, 5912595, 5912596, 5912597, 5912632, 5912633, 5912634, 5912635, 5912636, 5912637, 5912638, 5912639, 5912690, 5912691, 5912692, 5912693, 5912694, 5912696, 5912697, 5913313, 5913323, 5913471, 5913472, 5913473, 5913474, 5913475, 5913476, 5913477, 5913478, 5913479, 5913480, 5913481, 5913482, 5913483, 5913484, 5913485, 5913825, 5913826, 5913830, 5913831, 5913832, 5913833, 5913834, 5913835, 5913836, 5913837, 5913838, 5913839, 5913851, 5913852, 5913853, 5913854, 5913855, 5913856, 5913857, 5913858, 5913859, 5913890, 5913891, 5913892, 5913893, 5913894, 5913895, 5913896, 5913925, 5913927, 5913929, 5913931, 5913932, 5913933, 5913934, 5913935, 5913936, 5913937, 5913940, 5913942, 5913944, 5913946, 5913947, 5913948, 5913961, 5913963, 5913964, 5913965, 5913966, 5913967, 5913968, 5914413, 5914434, 5914438, 5914457, 5914477, 5914478, 5914480, 5914483, 5914485, 5914486, 5914487, 5914490, 5914491, 5914492, 5914493, 5914494, 5914496, 5914497, 5914498, 5914499, 5914628, 5914629, 5914630, 5914632, 5914633, 5914634, 5914635, 5914636, 5914637, 5914638, 5914639, 5914647, 5914649, 5914652, 5914653, 5914654, 5914655, 5914656, 5914657, 5914658, 5914659, 5914672, 5914677, 5914678, 5914679, 5914680, 5914681, 5914682, 5914683, 5914684, 5914685, 5914686, 5914687, 5914697, 5914698, 5914699"
"Bosnia and Herzegovina",0.16500,"387, 3875, 387332, 387334, 387335, 387336, 387352, 387492, 387493, 387494, 3873020, 3873024, 3873025, 3873026, 3873027, 3873028, 3873029, 3873049, 3873050, 3873051, 3873052, 3873053, 3873054, 3873056, 3873059, 3873061, 3873063, 3873064, 3873065, 3873070, 3873071, 3873073, 3873079, 3873080, 3873083, 3873087, 3873171, 3873172, 3873173, 3873174, 3873175, 3873176, 3873177, 3873179, 3873220, 3873222, 3873224, 3873240, 3873241, 3873242, 3873243, 3873244, 3873245, 3873246, 3873255, 3873259, 3873260, 3873261, 3873265, 3873266, 3873267, 3873268, 3873269, 3873272, 3873273, 3873274, 3873277, 3873278, 3873280, 3873282, 3873284, 3873285, 3873286, 3873287, 3873288, 3873289, 3873370, 3873371, 3873372, 3873373, 3873375, 3873376, 3873377, 3873378, 3873380, 3873381, 3873389, 3873420, 3873421, 3873422, 3873424, 3873426, 3873427, 3873431, 3873435, 3873436, 3873450, 3873481, 3873482, 3873485, 3873530, 3873531, 3873532, 3873533, 3873534, 3873536, 3873538, 3873539, 3873554, 3873555, 3873556, 3873557, 3873559, 3873561, 3873562, 3873563, 3873564, 3873565, 3873566, 3873569, 3873570, 3873571, 3873572, 3873574, 3873575, 3873576, 3873577, 3873578, 3873579, 3873580, 3873581, 3873582, 3873585, 3873586, 3873587, 3873588, 3873589, 3873628, 3873629, 3873631, 3873632, 3873633, 3873634, 3873635, 3873636, 3873637, 3873638, 3873639, 3873644, 3873648, 3873650, 3873651, 3873655, 3873656, 3873657, 3873658, 3873659, 3873664, 3873665, 3873671, 3873672, 3873673, 3873674, 3873675, 3873677, 3873678, 3873680, 3873681, 3873682, 3873685, 3873686, 3873687, 3873688, 3873689, 3873722, 3873729, 3873730, 3873731, 3873732, 3873733, 3873735, 3873736, 3873737, 3873738, 3873739, 3873741, 3873742, 3873747, 3873748, 3873749, 3873751, 3873752, 3873753, 3873754, 3873755, 3873766, 3873767, 3873768, 3873769, 3873771, 3873772, 3873777, 3873788, 3873822, 3873823, 3873824, 3873829, 3873851, 3873879, 3873882, 3873920, 3873938, 3873948, 3873966, 3873967, 3873968, 3873969, 3873970, 3873971, 3873983, 3873984, 3873985, 3874950, 3874951, 3874952, 3874958, 3874959, 3874974, 3874975, 3874976, 3877020, 3877021, 3877022, 3877023, 3877024, 3877025, 3877026, 38700000"
"Bosnia and Herzegovina",0.48000,"38761, 38762, 38763, 38765, 38766, 38767, 387644, 3876031, 3876032, 3876033, 3876034, 3876038, 3876039"
Botswana,0.08000,267
Botswana,0.30000,"2677, 26770, 26771, 26772, 267740, 267741, 267742, 267743, 267744, 267745, 267746, 267747, 267748, 267750, 267751, 267752, 267753, 267754, 267755, 267756, 267757, 267759, 267760, 267761, 267762, 267763, 267764, 267765, 267766, 267767, 267769, 267770, 267771, 267774, 267775, 2677920"
Brazil,0.01500,"5511, 5519, 5521, 5527, 5531, 5533, 5541, 5551, 5561, 5562, 5571, 5581, 5585"
Brazil,0.02500,55
Brazil,0.24000,"55116, 55117, 55118, 55119, 55126, 55127, 55128, 55129, 55136, 55137, 55138, 55139, 55146, 55147, 55148, 55149, 55156, 55157, 55158, 55159, 55166, 55167, 55168, 55169, 55176, 55177, 55178, 55179, 55186, 55187, 55188, 55189, 55196, 55197, 55198, 55199, 55216, 55217, 55218, 55219, 55226, 55227, 55228, 55229, 55246, 55247, 55248, 55249, 55276, 55277, 55278, 55279, 55286, 55287, 55288, 55289, 55316, 55317, 55318, 55319, 55326, 55327, 55328, 55329, 55336, 55337, 55338, 55339, 55346, 55347, 55348, 55349, 55356, 55357, 55358, 55359, 55376, 55377, 55378, 55379, 55386, 55387, 55388, 55389, 55416, 55417, 55418, 55419, 55426, 55427, 55428, 55429, 55436, 55437, 55438, 55439, 55446, 55447, 55448, 55449, 55456, 55457, 55458, 55459, 55466, 55467, 55468, 55469, 55476, 55477, 55478, 55479, 55486, 55487, 55488, 55489, 55496, 55497, 55498, 55499, 55516, 55517, 55518, 55519, 55526, 55527, 55528, 55529, 55536, 55537, 55538, 55539, 55546, 55547, 55548, 55549, 55556, 55557, 55558, 55559, 55616, 55617, 55618, 55619, 55626, 55627, 55628, 55629, 55636, 55637, 55638, 55639, 55646, 55647, 55648, 55649, 55656, 55657, 55658, 55659, 55666, 55667, 55668, 55669, 55676, 55677, 55678, 55679, 55686, 55687, 55688, 55689, 55696, 55697, 55698, 55699, 55716, 55717, 55718, 55719, 55736, 55737, 55738, 55739, 55746, 55747, 55748, 55749, 55756, 55757, 55758, 55759, 55776, 55777, 55778, 55779, 55786, 55787, 55788, 55789, 55796, 55797, 55798, 55799, 55816, 55817, 55818, 55819, 55826, 55827, 55828, 55829, 55836, 55837, 55838, 55839, 55846, 55847, 55848, 55849, 55856, 55857, 55858, 55859, 55866, 55867, 55868, 55869, 55876, 55877, 55878, 55879, 55886, 55887, 55888, 55889, 55896, 55897, 55898, 55899, 55916, 55917, 55918, 55919, 55926, 55927, 55928, 55929, 55936, 55937, 55938, 55939, 55946, 55947, 55948, 55949, 55956, 55957, 55958, 55959, 55966, 55967, 55968, 55969, 55976, 55977, 55978, 55979, 55986, 55987, 55988, 55989, 55996, 55997, 55998, 55999, 551153, 551154, 551157"
Brunei,0.05600,673
Bulgaria,0.02600,"359, 3592"
